	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ES.RNA.juv.m.1.SmLE.PZQ.ES.RNA.juv.m.1_rsem.genes.results_Mean	data.libraries..SmLE.PZQ.ES.RNA.adu.m.1.SmLE.PZQ.ES.RNA.adu.m.1_rsem.genes.results_Mean	GFF_annotation	HHPred_annotation
gene:Smp_104890	0	1	0.33339091492547	0.332535597808973	127.23561583595	382.642614259503	Glutamate-gated chloride channel subunit 3	Protein GLC-1, avermectin-sensitive glutamate-gated chloride CHA alpha
gene:Smp_104970	0	1	3.04334667564484	3.06145161806164	169.631821810294	55.402217135642	Leucine-rich repeat and fibronectin type-III domain-containing protein 5	Leucine-rich repeat-containing protein 4C
gene:Smp_105340	0	1	2.27916606391965	2.2826585868322	410.467394039981	179.814261239885	Cyclic nucleotide-gated cation channel subunit A	Novel protein similar to vertebrate potassium VOL channel, subfamily H (EAG-related)...
gene:Smp_105370	0	1	0.254426942678179	0.25132703631624	29.6684666929509	118.077043590516	Cathepsin B-like cysteine proteinase	Cathepsin B-like peptidase (C01 family)
gene:Smp_105480	2.61469581541718e-08	0.999999973853042	0.490959502396947	0.490369830582052	207.828656979599	423.830628068211	ADP-ribosylation factor-like protein 6	ADP-ribosylation factor-like protein 6
gene:Smp_105690	0	1	2.20656528795815	2.20781993723119	1042.4340574978	472.149907571595	Hypothetical protein	Hepatoma-derived growth factor-related protein 2
gene:Smp_105730	1.00722661988684e-07	0.999999899277338	0.246943187407764	0.245834560619604	81.9771766446094	333.495494255845	Divalent metal cation transporter MntH	Claudin-15
gene:Smp_105780	0	1	0.0472868861899166	0.0467927134703707	44.2816874209866	946.540950695182	Hypothetical protein	Zymogen granule membrane protein 16
gene:Smp_105910	0	1	2.15185580587832	2.15234350902598	2495.81862668878	1159.5765698121	Histone Acetyltransferase, CBP/p300 family	Histone acetyltransferase P300
gene:Smp_106010	1.18793863634892e-14	0.999999999999988	0.390004684703354	0.389515966758736	238.69092301362	612.804219144628	P3N-PIPO polyprotein	Transcription initiation factor IIA alpha chain
gene:Smp_106110	0	1	0.435384478166407	0.435141152521804	495.731992447921	1139.25708511689	Kv channel-interacting protein 4	Calsenilin
gene:Smp_118040	0	1	0.464664696128956	0.463439402189092	99.4020831025158	214.499346061071	neuropeptide receptor	Neurotensin receptor type 1
gene:Smp_120380	0.00308097620276482	0.996919023797235	0.462961418874949	0.461808763699616	105.630116639983	228.742949150825	Protein tilB homolog	U2A', U2A'
gene:Smp_121390	0	1	0.397957025534606	0.397652359084294	385.794281585373	970.194935974216	Genome polyprotein	GLP-2, glucagon-like peptide 2
gene:Smp_122170	3.89910326248355e-13	0.99999999999961	0.0837732382904499	0.0813505783610802	15.095384382758	185.67256903733	Netrin receptor UNC5B-b	F-spondin
gene:Smp_122370	2.22044604925031e-16	1	2.37303120365233	2.37495717942487	831.267433170112	350.007861531051	Tyrosine-protein kinase BAZ1B	Transcription intermediary factor 1-alpha
gene:Smp_122500	0	1	0.295495895869332	0.294193862287267	78.1447843829155	265.647426620957	NADH-ubiquinone oxidoreductase chain 5	Putative lipoprotein
gene:Smp_122810	7.58142437717879e-11	0.999999999924186	2.72164413554782	2.73606992279981	160.31146626296	58.5855296416198	Mechanosensory protein 2	PH stomatin
gene:Smp_122820	0	1	0.132893391784378	0.131177572230132	32.5377590020131	248.109845859877	Protein FAM166B	Males-absent on the first protein
gene:Smp_123000	0	1	2.19595879840824	2.19650998066357	2339.98425557662	1065.3137527606	Ski oncogene	SKI oncogene, SKI, C-SKI
gene:Smp_123010	0	1	3.64224412083082	3.64565014344458	1388.53839838553	380.868127014561	High affinity cationic amino acid transporter 1	Uncharacterized protein MJ0609
gene:Smp_123100	0.0248303930251469	0.975169606974853	0.441051254210322	0.426437679310448	7.99814092323622	18.7691588590047	MEG-32.1 protein	HCF N-terminal chain 1
gene:Smp_123220	2.16039029532489e-06	0.999997839609705	0.408486958947756	0.402696148040512	20.1858917980303	50.1416885530243	Oxygen-regulated protein 1	Cell division control protein 4
gene:Smp_123470	2.80999504781443e-05	0.999971900049522	0.131810060085876	0.120424412047575	4.49850077833511	37.4284288175224	Leucine-rich repeat-containing protein 74B	RAN GTPase-activating protein 1
gene:Smp_123540	0.000122707713019143	0.999877292286981	0.412988611526224	0.412310485902796	175.225209353831	424.997889309765	venom allergen-like (VAL) 12 protein	Venom allergen-like (Val) 4 protein
gene:Smp_123810	0.000127705145999579	0.999872294854	0.35650292387955	0.353559512278329	37.9406069839412	107.328667652833	Interferon regulatory factor 2-binding protein 2-B	Protein C14ORF4, MY039 protein
gene:Smp_123920	0.0277880443566165	0.972211955643383	9.89098693169235	19.3103942630567	8.93907513976891	0.453433061897119	Pre-mRNA-processing ATP-dependent RNA helicase PRP5	RGS3, RGP3, regulator of G-protein signaling 3
gene:Smp_124380	6.04063307152458e-08	0.999999939593669	0.112032058771536	0.100070902199323	3.63747686540878	36.4389255642333	Leucine-rich repeat-containing protein 63	Variable lymphocyte receptor B
gene:Smp_124450	0	1	2.13367787300253	2.13438361903397	1683.3396160767	788.671847567114	Bone morphogenetic protein receptor type-1A	Activin receptor type-1
gene:Smp_124510	0.00536994068788876	0.994630059312111	0.183136305640481	0.173280842204896	7.04153576429586	40.6842606843853	Alpha-amylase	Monobody YSMB-1
gene:Smp_124590	3.54158384840986e-08	0.999999964584162	0.336453899340071	0.333743798458639	40.1098654684873	120.201568435958	Leucine-rich repeat-containing protein 9	TLR4, TOLL-like receptor 4
gene:Smp_124600	0.0462586518774684	0.953741348122532	3.50460758783047	3.50949803339269	882.45377365593	251.440140521332	Transcription factor kayak	Protein (GCN4)
gene:Smp_124760	0	1	5.59873977869028	5.61260019812247	914.286778896186	162.890749496114	Enolase	Plectin
gene:Smp_124770	3.96682686698568e-13	0.999999999999603	0.392382257387174	0.390593315384381	65.1257790717737	166.751120854498	Cilia- and flagella-associated protein 157	HBS1P, elongation factor 1 alpha-like protein
gene:Smp_125020	1.59620147655026e-07	0.999999840379852	0.447689260926145	0.447039314711445	186.504417065716	417.211508104064	Dynein light chain 2, cytoplasmic	Dynein light chain motor protein
gene:Smp_125050	0	1	2.11735015567213	2.11887603646788	761.779277741594	359.515174965629	PC4 and SFRS1-interacting protein	Hepatoma-derived growth factor-related protein 2
gene:Smp_125160	0	1	2.40098526707053	2.40195577485268	1702.38436275545	708.743416935772	Hypothetical protein	Smoothened
gene:Smp_125340	0	1	2.2103926267103	2.2122099243868	723.404407799297	326.999837459173	Hepatoma-derived growth factor-related protein 3	Hepatoma-derived growth factor
gene:Smp_125510	0.0106966090585602	0.98930339094144	2.92121102801926	2.92498752353196	730.574973451663	249.763705895837	Cadherin EGF LAG seven-pass G-type receptor 3	EP-cadherin, C-cadherin
gene:Smp_125560	0.0445795097736963	0.955420490226304	0.397866016804995	0.380642806142222	6.52367113508169	17.1548354563687	long-chain-fatty-acid--CoA ligase	Luciferase, luciferin 4-monooxygenase
gene:Smp_125740	1.56319401867222e-12	0.999999999998437	0.490258683465048	0.490042532310991	567.386526411565	1157.84159246439	E3 ubiquitin-protein ligase MARCH2	Vkorc1/thioredoxin domain protein
gene:Smp_126050	0	1	2.9354372387506	2.94163315880899	451.141513962817	153.357700731753	Protocadherin-11 Y-linked	Cadherin-2
gene:Smp_126220	6.66133814775094e-16	0.999999999999999	3.33581017130559	3.38264910158707	82.8124637665736	24.4744975873244	Serine/threonine-protein kinase/endoribonuclease IRE1a	Two-component response regulator YESN
gene:Smp_126470	0	1	0.303062081681248	0.301841480915402	84.6074626382966	280.32742208551	Zeaxanthin epoxidase, chloroplastic	Protein YPL144W, DMP1
gene:Smp_126820	0.00264102698438351	0.997358973015616	0.276872732586481	0.271688452094753	18.5962154895118	68.4736449472016	HEAT repeat-containing protein 4	PP2A scaffold subunit A, truncated, AN internal D PP2A A
gene:Smp_126990	1.11022302462516e-15	0.999999999999999	3.9977203120786	4.00303661290647	1108.22470100698	276.838504816031	Synapsin	Synapsin II
gene:Smp_127010	0	1	2.4279661275921	2.42973054266662	965.453542632719	397.344161574281	CREB binding protein	Histone acetyltransferase P300
gene:Smp_127180	1.19618204230676e-09	0.999999998803818	2.07346401859344	2.07495038177406	735.741046972593	354.5772968507	Transcription initiation factor TFIID subunit 3	Protein pygopus
gene:Smp_127190	0	1	2.41889539078515	2.4219415894211	553.870968830762	228.682950833365	Hypothetical protein	Hypothetical protein
gene:Smp_127220	0	1	0.33946068101312	0.338287905526544	93.5372199079743	276.521375729701	Putative cysteine ligase BshC	Corticotropin-releasing factor receptor 1, T4-Lys chimeric construct
gene:Smp_127240	1.82110772485311e-05	0.999981788922751	0.491764607565747	0.488325638231773	35.4229040312081	72.5499912376312	Homeobox protein six1a	Maltose-binding periplasmic protein, homeobox Pro chimera
gene:Smp_127680	0	1	2.71097919166209	2.71178608919405	2823.19483385246	1041.07684866494	DmX-like protein 1	Antiviral protein SKI8
gene:Smp_127860	0	1	0.315736106762496	0.31522661968253	207.851450381773	659.393227402285	Sex peptide receptor	C-X-C chemokine receptor type 4, lysozyme chimera
gene:Smp_128010	0	1	0.292049986632605	0.290476664180709	64.1636471726543	220.91531031247	Hypothetical protein	Nuclear receptor binding factor 2
gene:Smp_128070	7.64781893369815e-09	0.999999992352181	0.296068699568044	0.295248215296441	124.35779003022	421.221301619722	F-box only protein 7	Ubiquitin thioesterase OTU1
gene:Smp_128120	0	1	2.79377056162118	2.79576818822882	1232.56784402731	440.86269081067	Protein polybromo-1	Chromatin structure-remodeling complex protein RSC4, linker, histone H3
gene:Smp_128220	1.98333010013041e-05	0.999980166698999	2.00366540070086	2.00515502751678	663.305348162032	330.795019591673	Neurogenic locus notch homolog protein 3	Protein jagged-1
gene:Smp_128230	1.49666501747525e-06	0.999998503334983	2.11299668484289	2.11381278536651	1415.38401311623	669.582890588379	Protein jagged-1b	Protein jagged-1
gene:Smp_128330	0.0386893195033268	0.961310680496673	0.342653445471384	0.334640466393742	13.4684346915108	40.2673604661783	Protein FEV	Transcriptional regulator ERG
gene:Smp_128430	0.00173438841958551	0.998265611580414	8.90842700251533	10.4610895025591	26.1507736819366	2.49076951120023	Lysosome membrane protein 2	Lysosome membrane protein 2
gene:Smp_128510	8.88178419700125e-16	0.999999999999999	0.0301674268015229	0.0271765067007275	4.31659461939274	159.193486564258	D-aminoacyl-tRNA deacylase	Telomeric repeat-binding factor 2
gene:Smp_128600	0	1	2.06367587395812	2.06475537324578	998.876568212389	483.769619201159	Chromodomain-helicase-DNA-binding protein 5	Chromo domain-containing protein 1
gene:Smp_128760	0	1	0.420462371130274	0.42031013719704	785.588518042253	1869.08248318693	Chitin synthase 3	Acetylcholine receptor
gene:Smp_128860	0	1	3.63983395654165	3.6638037098494	198.099756545839	54.0621534871699	Lysyl oxidase homolog 2B	MAC-2 binding protein
gene:Smp_128890	3.64375196681976e-13	0.999999999999636	2.17399703553124	2.17563138752601	767.293780838983	352.670966655621	Helicase domino	Chromo domain-containing protein 1
gene:Smp_128920	2.3481439015427e-11	0.999999999976519	3.81649322350673	3.82176283257	1002.88315099978	262.406375619355	Spectrin beta chain	Actinin
gene:Smp_128950	0	1	2.15686169988045	2.15790531857947	1174.43476461342	544.242222051408	Tankyrase-1	Burrh
gene:Smp_129230	2.65603707272355e-06	0.999997343962927	2.20334092810197	2.20744814705602	317.525264048412	143.837213114335	trypsin-like serine protease	Pro-phenoloxidase activating enzyme-I
gene:Smp_129500	0	1	2.05279083049062	2.05494646023924	492.742749349375	239.778607091986	DNA-directed RNA polymerase I subunit RPA1	DNA-directed RNA polymerases I and III subunit RP
gene:Smp_129770	0	1	2.46205598556163	2.46258642871919	3332.5444412961	1353.26410337	Ankyrin-like protein	KN motif and ankyrin repeat domain-containing Pro
gene:Smp_129810	0	1	0.365355301570004	0.363896201930684	77.7012417801232	213.543319237242	Cholecystokinin receptor type A	Neurotensin receptor type 1, lysozyme chimera
gene:Smp_129820	0	1	2.82955076972388	2.83100066447999	1753.90514163309	619.528936757989	Canalicular multispecific organic anion transporter 1	Multidrug resistance protein PGP-1
gene:Smp_129830	1.09995346164737e-11	0.999999999989	4.5485604406573	4.56066288334183	656.5399353394	143.949321733141	Protocadherin alpha-10	EP-cadherin, C-cadherin
gene:Smp_129840	1.68752678497697e-10	0.999999999831247	3.38767080439576	3.39122676581247	1117.97212519391	329.658937643593	Hypothetical protein	Angiotensinogen, serpin A8
gene:Smp_129920	4.55191440096314e-15	0.999999999999995	0.144790272468977	0.137828146287499	8.30245441598289	60.300282332636	Uncharacterized sodium-dependent transporter HI_0736	Leutaa, Na(+):neurotransmitter symporter (SNF family)
gene:Smp_129960	1.56541446472147e-14	0.999999999999984	0.0900839572654364	0.089731192620517	113.627149013607	1266.40745969198	Nestin	RPS24, 30S ribosomal protein S24E
gene:Smp_130020	1.81405911736654e-07	0.999999818594088	0.450921276462288	0.450318274254319	201.314163823929	447.060828198792	Cilia- and flagella-associated protein 157	De novo designed protein S-824
gene:Smp_130070	0	1	3.70688866273348	3.71587700695909	549.420351932124	147.85020928657	Nephrin	Vascular endothelial growth factor receptor 2
gene:Smp_130440	0	1	2.17876027255554	2.17916453654788	3119.67735207626	1431.58788981254	[F-actin]-methionine sulfoxide oxidase MICAL3	NEDD9 interacting protein with calponin homology and LIM domains
gene:Smp_130450	4.33049955117504e-06	0.999995669500449	0.301153766154546	0.293117289001727	12.5046287191301	42.6849524599906	Protein bicaudal C homolog 1	Defective in GERM LINE development protein 3, ISO
gene:Smp_130470	0	1	2.49447950260521	2.49585681744627	1329.63903407413	532.732513424551	Chromodomain-helicase-DNA-binding protein 9	Chromo domain-containing protein 1
gene:Smp_130500	3.04264658135267e-07	0.999999695735342	0.28585252905506	0.28126370745824	21.481218797332	76.3994983727071	Dihydropyridine-sensitive L-type skeletal muscle calcium channel subunit alpha-1	Phospholemman
gene:Smp_130580	0	1	2.68466071321363	2.68642897285176	1256.6054540734	467.754257597124	Disabled homolog 2	Disabled homolog 2
gene:Smp_130730	2.7663983548365e-08	0.999999972336016	0.418557288918285	0.417485410940072	111.179430406605	266.321295640331	SPBc2 prophage-derived uncharacterized protein YorH	Deoxyuridine 5'-triphosphate nucleotide hydrolase
gene:Smp_130890	0	1	2.39561530298785	2.40038809903227	344.605598557145	143.556616871696	Transient receptor potential cation channel subfamily M member 1	Transient receptor potential cation channel subfa member 1
gene:Smp_130940	0	1	0.472303100099925	0.471942446575203	339.024599151227	718.371238245334	BET1 homolog	Protein (SNAP-25B), protein (synaptobrevin 2)
gene:Smp_131320	0	1	2.46792773264736	2.4704549901145	704.50906883117	285.167860616888	Histone acetyltransferase KAT6B	Histone acetyltransferase htatip
gene:Smp_131410	0.000287488947971926	0.999712511052028	0.38762035618957	0.386795858044027	141.040132071744	364.652984720194	Uncharacterized ABC transporter permease protein YclN	Transmembrane protein 141
gene:Smp_131580	0.00016104247919202	0.999838957520808	2.02604824606843	2.02655965944755	1996.24358869192	985.035557077805	Lysosomal alpha-mannosidase	Alpha-mannosidase 2
gene:Smp_131630	2.48485443732349e-06	0.999997515145563	0.321680875925525	0.319556905867608	50.09654967918	156.790083988606	ankyrin repeat-containing protein kinase, putative	Protein (RNAse L)
gene:Smp_131890	0	1	3.16248826417765	3.16338586063054	3741.83178402619	1182.8497423396	Sodium- and chloride-dependent glycine transporter 2	Transporter
gene:Smp_131940	0	1	2.65429704541525	2.65559179064462	1665.89837554627	627.310954001704	Protein patched	Heavy metal cation tricomponent efflux pump ZNEA( like)
gene:Smp_131980	1.06833989375055e-05	0.999989316601062	0.491411069298768	0.489907933006719	81.3748626034134	166.112769443493	Tachykinin-like peptides receptor 99D	Substance-P receptor
gene:Smp_132010	0.00881173385976763	0.991188266140232	2.06097655476644	2.0860777218882	43.2815341606753	20.7425988636178	Neurogenic locus notch homolog protein 1	MBP peptide, HLA class II histocompatibility antigen, DR beta
gene:Smp_132200	0	1	2.42180917794557	2.42700816348409	325.867638637884	134.261340138415	Leucine-rich repeat protein SHOC-2	Uncharacterized protein
gene:Smp_132540	6.25822627153827e-06	0.999993741773728	2.48765570378072	2.49138624325151	487.779529694647	195.780408258028	Slit homolog 1 protein	Protein TOLL
gene:Smp_132660	0.00189255268728417	0.998107447312716	0.241097723048047	0.225127117903361	5.24234100492635	23.3205567709573	Putative protein tag-52	FERM, rhogef and pleckstrin domain-containing Pro
gene:Smp_132670	0	1	0.283346661677662	0.283344144999764	39614.6885617864	139811.238126618	myosin regulatory light chain 2 smooth muscle	RLC, myosin regulatory light chain
gene:Smp_133080	0.00419459234536279	0.995805407654637	4.97259244339618	5.83442013003437	13.1941937680525	2.25315443073426	Ephrin-A1	Ephrin-B3
gene:Smp_133170	0.000271252969758828	0.999728747030241	0.488288299206943	0.487047555110795	98.6122979365433	202.480079052154	vasohibin protein	Enterocine A immunity protein
gene:Smp_134530	0	1	7.1644577560045	7.21236304112676	455.659174763569	63.1689015840198	Solute carrier organic anion transporter family member 5A1	Nitrate transporter 1.1
gene:Smp_134540	1.08552314854737e-05	0.999989144768515	3.15074016881902	3.18814951917819	89.9826582719657	28.2172389455445	Hypothetical protein	Lipovitellin (LV-2)
gene:Smp_134550	0	1	0.424694349573601	0.424625033310752	1730.32309041542	4074.95721736875	Hemopexin	Terminase DNA packaging enzyme small subunit
gene:Smp_134960	0	1	0.43644773205968	0.435814892528391	190.537514428565	437.21120949814	Neuropeptide CCHamide-1 receptor	P2Y purinoceptor 12, soluble cytochrome B562
gene:Smp_135210	0	1	2.67767152536382	2.67913894387259	1503.85481242558	561.313934268149	Multiple epidermal growth factor-like domains protein 6	Laminin subunit beta-1
gene:Smp_135270	4.31875490924938e-09	0.999999995681245	0.483313412525824	0.482917390471897	309.333703685817	640.562714483388	Uncharacterized protein C1orf228 homolog	ARM00011
gene:Smp_135380	0	1	3.75914857628327	3.78100829767622	234.304257297776	61.9613681775794	Protein hunchback (Fragment)	AART
gene:Smp_135390	1.25674719513302e-05	0.999987432528049	0.285291710463527	0.280717468096404	21.5247435873526	76.7032296161815	Two-component response regulator-like APRR3	DNA replication complex GINS protein PSF2
gene:Smp_135970	0	1	0.341137774633536	0.340127704148049	108.919511230804	320.250625354382	Polcalcin Bra r 1	RAS and EF-hand domain-containing protein
gene:Smp_136110	0	1	0.326762205417382	0.32351412446706	32.9127049846252	101.755896740553	Protein phosphatase 1 regulatory subunit 37 homolog	Nacht, LRR and PYD domains-containing protein 1
gene:Smp_136260	0	1	2.12332427276824	2.12367049669577	3382.94186038615	1592.96398803143	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2	Glucosamine--fructose-6-phosphate aminotransferase [isomerizing]
gene:Smp_136480	0	1	0.49172466984934	0.491486221007851	514.360177416654	1046.55072831885	Hypothetical protein	ATPase wrnip1
gene:Smp_136570	0	1	2.44753696715372	2.44819255899896	2653.99852749938	1084.05853772343	Piezo-type mechanosensitive ion channel component 2	Potassium voltage-gated channel subfamily E membe
gene:Smp_136690	4.18776124888609e-13	0.999999999999581	2.44101228520806	2.44623247946455	331.532621161044	135.521934901631	Cholinesterase	ACHE, acetylcholinesterase
gene:Smp_136760	0	1	0.48623857649361	0.486035717100783	604.349252200305	1243.43617265028	Ribosomal RNA large subunit methyltransferase K/L	MAL3, microtubule integrity protein MAL3
gene:Smp_136920	0	1	0.469451312656777	0.468570548215789	138.570166613346	295.740911236373	Polypeptide N-acetylgalactosaminyltransferase 2	Polypeptide N-acetylgalactosaminyltransferase 1
gene:Smp_136930	1.22757359832804e-12	0.999999999998772	0.38143265259531	0.38134469782886	1316.74793222077	3452.92363122019	Major egg antigen	TSP36, small heat shock protein
gene:Smp_137120	0	1	8.61478013667185	8.75996878224108	225.563403670431	25.7404803130956	Atherin	Heterochromatin protein 1-binding protein 3
gene:Smp_137180	0	1	5.04192108256446	5.15508924707587	90.3883213066097	17.5257432187787	Hypothetical protein	GTPase IMAP family member 4
gene:Smp_137280	0.0319448218724082	0.968055178127592	0.405975589121988	0.399177515243724	17.1155726477396	42.8921475252265	Coiled-coil domain-containing protein 87	MAD1
gene:Smp_137360	8.82671275201918e-05	0.99991173287248	3.31906734788059	3.38234767651832	60.8488164474648	17.9830693908176	Myosin tail region-interacting protein MTI1	Glycophorin A
gene:Smp_137910	1.51700874084781e-12	0.999999999998483	3.39280976584741	3.40618523472028	299.166887152104	87.8234167215874	Tight junction protein ZO-3	Disks large homolog 4
gene:Smp_137940	0	1	0.4646835330268	0.464566064322435	1039.42306095868	2237.41787255605	Guanylate kinase	Postsynaptic density protein 95
gene:Smp_137980	0.000104804805407088	0.999895195194593	0.380300828358903	0.370026986434017	10.948271461398	29.6047899022281	5-hydroxytryptamine receptor 2	Human adenosine A2A receptor/T4 lysozyme chimera
gene:Smp_138010	0	1	0.398326923793198	0.396962676543275	85.9463144276189	216.525003179949	Cyanide hydratase	Calcyclin-binding protein
gene:Smp_138130	3.60920289109723e-05	0.999963907971089	0.295308173150797	0.284306560252331	8.93108812221018	31.4387576870358	Brassinosteroid LRR receptor kinase	Replicase polyprotein 1AB
gene:Smp_138230	1.96259504886553e-05	0.999980374049511	2.9541033679575	3.03035993514145	38.1163400892658	12.5714559673705	doublesex and mab-3 related transcription factor 1	Doublesex protein
gene:Smp_138880	0	1	2.46531726203283	2.46968638610504	406.657733643456	164.653714361245	RNA binding protein fox-1 homolog 1	Ataxin-2-binding protein 1
gene:Smp_139180	0.00242549345495213	0.997574506545048	2.52488600607433	2.54012979512775	124.745866493491	49.1039731256199	Frizzled-5	Smoothened homolog/soluble cytochrome B562 chimer protein
gene:Smp_139380	0	1	0.0563172582507606	0.0554096000826537	28.2745535218414	510.453051161707	Hypothetical protein	BCL-2-modifying factor
gene:Smp_139530	0	1	2.52779938265124	2.53028734761649	762.863507387127	301.486787748532	cellular tumor antigen P53, putative	Cellular tumor antigen P53
gene:Smp_139580	0	1	0.00153272719982939	3.06408248805989e-05	0	326.351970964162	UPF0317 protein Jann_2570	Ribonucleases P/MRP protein subunit POP7
gene:Smp_139620	8.32693913821458e-11	0.999999999916731	2.64488724181663	2.65252090309478	280.612624044376	105.78468901337	MAGUK p55 subfamily member 4	Tyrosine-protein phosphatase, non-receptor type 4
gene:Smp_140040	0.00049365896872311	0.999506341031277	2.46650521144358	2.4679208410591	1255.2272424609	508.611355100767	Ca(2+)/calmodulin-responsive adenylate cyclase	VC1
gene:Smp_140110	2.53173959574582e-09	0.99999999746826	0.375982614303409	0.375017113570564	118.992418689401	317.315301654558	Cilia- and flagella-associated protein 221	Hydrocephalus-inducing protein homolog
gene:Smp_140140	0	1	0.358912260645717	0.358517160022448	285.604547190205	796.64516476902	Tetraspanin-17	CD81 antigen
gene:Smp_140260	0	1	2.01546468666769	2.01649502431627	975.750043764987	483.87914031456	Apoptotic protease-activating factor 1	APAF-1, apoptotic peptidase activating factor 1
gene:Smp_140420	0	1	2.32515222895047	2.32590096592692	2021.09245101824	868.944646232235	5'-3' exoribonuclease 1	  2 3pie_A 5'->3' exoribonuclease  100.0  5E-135  2E-139 1186.1   0.0 1065    1-1381   36-1139(1155)
gene:Smp_140540	1.27043776509961e-06	0.999998729562235	0.21210370456572	0.203328839258905	8.9537183223539	44.0748349650003	Replicase polyprotein 1ab	Uncharacterized protein
gene:Smp_140810	0	1	0.406017824820605	0.405432146367469	201.869846484286	497.927443523064	Pyroglutamyl-peptidase 1	Pyrrolidone-carboxylate peptidase
gene:Smp_141120	3.72257780156815e-13	0.999999999999628	2.18554514582797	2.1874406770377	671.703475189644	307.067344881095	Zinc finger protein 592	Transcriptional regulator kaiso
gene:Smp_141230	0.000431608065328826	0.999568391934671	0.349461702146944	0.348467071379028	111.890839451553	321.113138001864	Dual specificity tyrosine-phosphorylation-regulated kinase 2	DYRK2, dual specificity tyrosine-phosphorylation-regulat 2
gene:Smp_141250	2.48546516701253e-10	0.999999999751453	0.192835931581243	0.190775958882102	36.6915681447496	192.370467433168	Delta-like protein D	WIF-1, WNT inhibitory factor 1
gene:Smp_141280	1.11022302462516e-16	1	0.4790137902102	0.478179037191889	146.517581933122	306.41828425438	Leucine-rich repeat-containing protein 23	Internalin H
gene:Smp_141290	0	1	3.02987633779452	3.03022302561454	8710.95383103768	2874.68396061073	Innexin unc-9	SHC adaptor protein
gene:Smp_141480	0	1	0.224365583796372	0.2217452352361	32.2164837706766	145.321121709848	Tubulin glycylase 3D	30S ribosomal protein S27E
gene:Smp_141490	0	1	0.22704571531803	0.226681735922003	236.339211819353	1042.63779364791	RING finger protein 151	Tripartite motif protein 32
gene:Smp_141520	2.8643754035329e-13	0.999999999999714	2.57912741158416	2.58144128002529	864.960666987624	335.062764846756	E3 ubiquitin-protein ligase PDZRN3	C60-1 PDZ domain peptide
gene:Smp_141610	0.000156771200077288	0.999843228799923	2.72099259319201	2.7211827629624	12090.8126254727	4443.21328879893	Cathepsin B-like cysteine proteinase	Cathepsin B-like peptidase (C01 family)
gene:Smp_141680	3.39941741422933e-10	0.999999999660058	2.68151895154974	2.68241104465951	2482.42296413921	925.43838311845	Fasciclin-1	Fasciclin I, FAS I, FCN
gene:Smp_141860	0	1	2.46216347821565	2.46294153620067	2272.46278262286	922.656149083009	Protein furry homolog-like	  3 2nyt_A Probable C->U-editing e  36.2      12 0.00037   41.1   0.0   41 1803-1843   88-134 (190)
gene:Smp_141930	0	1	0.191141264132457	0.189712784777749	52.7319194296567	277.999304915557	Phagocyte signaling-impaired protein	Mitogen-activated protein kinase kinase kinase 2
gene:Smp_141940	0	1	0.393221112749375	0.392528281573232	168.775296877724	429.985250791208	Stage II sporulation protein B	Immunomodulatory protein FIP-FVE
gene:Smp_142120	0.0371230340433008	0.962876965956699	9.67214863386196	14.7472731081291	12.3623545552715	0.828958800352829	Achaete-scute homolog 5	DNA-binding protein inhibitor ID-2
gene:Smp_142250	0	1	2.51867120015021	2.51996086982366	1456.9233555296	578.14713449215	Suppressor of cytokine signaling 7	Suppressor of cytokine signaling 2
gene:Smp_142320	0	1	4.2603302508019	4.26891473719269	796.012562353423	186.459538831057	Zinc finger MIZ domain-containing protein 1	E3 SUMO-protein ligase PIAS2
gene:Smp_142550	0	1	2.15841695815567	2.15954419088701	1089.60740248927	504.548974568482	Nuclear pore membrane glycoprotein 210	Intimin, intimin adherence protein
gene:Smp_142710	0	1	2.21073667411401	2.21119313273103	2879.61267168758	1302.28360297035	Serine/threonine-protein kinase SMG1	Serine/threonine-protein kinase MTOR
gene:Smp_142740	9.19628714290965e-08	0.999999908037129	2.56017118637286	2.56776237969741	259.096109030287	100.897354620882	Rho GTPase-activating protein 100F	RHO GTPase activating protein 15
gene:Smp_143130	0	1	0.362978144559872	0.362946280601975	3562.51222986216	9815.55340501254	Four and a half LIM domains protein 2	Fusion protein insulin gene enhancer protein ISL- domain-binding protein 1
gene:Smp_143190	3.62329372769477e-05	0.999963767062723	0.222244930030754	0.217421484948779	17.2026837647863	79.1573544536839	Hypothetical protein	Doublesex protein
gene:Smp_143310	0	1	0.291893067772964	0.291468932704593	238.907275745832	819.690657386964	Hypothetical protein	MHP1
gene:Smp_143470	0	1	2.31393188863422	2.31401300205029	18403.750609402	7953.16943032115	Spectrin beta chain	Actinin
gene:Smp_143480	0	1	2.43406028765761	2.43622275921927	793.21176145885	325.584922901489	Low-density lipoprotein receptor-related protein 11	Relaxin receptor 2
gene:Smp_143670	0	1	0.330023224257784	0.328844328156917	91.7461520568432	279.016105060444	RNA polymerase I-specific transcription initiation factor RRN3	RNA polymerase I-specific transcription initiatio RRN3
gene:Smp_143690	7.55950857467269e-13	0.999999999999244	2.57220942099465	2.57356178012647	1468.96219096723	570.783443666638	Feline leukemia virus subgroup C receptor-related protein 1	Glycerol-3-phosphate transporter
